word,hint,Scrambelled
example,e.g.,xplmaee
jealous,showing extreme cupidity,seauojl
brought,take something,btorhug
crystal,a gem,crlsyat
gunshot,the act of shooting ,hngutso
clearly,without doubt or question,llycaer
written,produce a literary work,iwnrett
custody,a state of being confined,oyudsct
weekend,Saturday and Sunday,ewdknee
flowers,cultivated for blooms ,refslow
greater,larger,raegter
intense,strong feelings,etisnne
dollars,currency,sdloalr
staying,remain in a certain state,gatnyis
learned,gain knowledge or skills,dnaeerl
picking,detach and remove,pikingc
instead,in place of,eidnsta
shelter,a structure that provides protection,hesrelt
episode,part of a series,spoeied
streets,thoroughfares,esrtest
arrived,reach a destination,rvriead
passing,dying,pgaisns
heading,going somewhere,gaiednh
reading,a book ,anerdig
enemies,not your friends,meeines
outside,where animals live,stoduie
already,again,ealyard
turning,changing direction,ngritnu
squeeze,the act of gripping ,uqszeee
appears,arrives,rpesaap
weapons,any instrument used in fighting ,ewnaops
secrets,private,stecsre
proceed,continue ,oepcred
alcohol,a liquor ,ohlocal
liberty,freedom,iylrbte
knowing,being aware,ogniwnk
singing,vocal music,gngisni
service,you tip for this,seircev
partner,buddy,tranepr
stopped,come to a halt,ppsoted
passion,a strong feeling,saispno
opinion,a personal belief ,nnpioio
network,an interconnected system ,rkenotw
degrees,a position on a scale,egseedr
glasses,optical instrument,assglse
apology,sorry,pygooal
quality,an essential and distinguishing attribute ,uyqlita
measure,use a ruler,ursaeem
talking,verbal exchange,giatlnk
watched,look attentively,dacweht
figured,judge to be probable,gfiured
warning,informing of danger,nnrawig
capital,"Berlin, London, Oslo",ilapcat
besides,anyway,eedbsis
another,various alternatives,hnratoe
towards,In the direction of something ,aotdswr
wearing,grinding something down,aneriwg
nuclear,atomic energy,nalrecu
theatre,the Abbey,aetther
goodbye,a farewell remark,ooeydbg
medical,a thorough physical examination,mdeclai
benefit,assistance,tibnefe
similar,resemblance,aimrils
session,drinking for a long period,nsioess
realise,be fully aware of,lriseae
emperor,the male ruler ,eerpmor
advance,a movement forward,edaacnv
provide,give something useful ,edviopr
keeping,minding,epnigke
replace,substitute ,acerlpe
quickly,with rapid movements,iukqlcy
letters,alphabet,tstlree
anybody,a person of some importance,abdoyny
kissing,affectionate play ,issnikg
current,a flow of electricity,nructre
article,lots in this publication,lrceait
distant,faraway,tntsadi
anymore,from now on,oaymern
alright,okay,gilrtha
million,six zeros,liimoln
divorce,dissolution of marriage,cdrovie
forgive,stop blaming ,gvfiroe
evening,the latter part of the day ,evegnin
welcome,on a mat,emwocle
pulling,move something toward you,nlulipg
weather,we talk about this a lot,reetwah
goddamn,American expletive,mddagno
fantasy,imagination unrestricted by reality,tsfyana
develop,make something new,oldpeve
records,LPs,rocdres
release,from prison,seeaerl
cleared,rid of obstructions,recldea
offense,wounding the feelings of others,esfnfoe
holiday,leisure time ,iylohad
exhales,expel air,eaxeslh
subject,study in school,bjeustc
hostage,a prisoner,gathose
beneath,under,etnaheb
brother,sibling,trohber
reminds,put in the mind of someone,emsnrid
testing,checking,tetsign
remains,something left,reansmi
dropped,let fall to the ground,edrpodp
results,at the end,eltrssu
defence,backs in football,sendefe
members,part of a club,ebremms
however,contrast,ehvewor
prepare,get ready,rrapepe
holding,retaining something,lihdnog
disease,illness,esdsiae
whistle,when a kettle boils,sewlhit
respect,deep admiration,respetc
complex,difficult to understand,olcpemx
russian,a native of a large country,nuasirs
stories,fables,rsestio
running,part of athletics,nginnru
succeed,attain success ,cesdcue
station,trains stops,sanitot
british,the people of Great Britain,sirtbhi
sweetie,pet name,wteeeis
washing,cleaning,hnasgwi
someone,a human being,enoosme
spanish,spoken in Bolivia,hasnpis
dessert,jelly and ice-cream,ertdses
panting,breathing heavily,naptngi
thunder,lightening,hedtunr
managed,achieved something,aamedgn
strange,out of the ordinary,gretnsa
quietly,with low volume,iyteluq
willing,the act of making a choice,iglliwn
propose,ask to get married,spropeo
warrior,a fighter,irrawro
concept,general idea,etoncpc
robbery,larceny,beboryr
reached,destination,hcerade
present,happening now,tenresp
killing,murder,liiglkn
uniform,clothing of distinctive design ,oiunfmr
abandon,leave,badanon
chatter,noisy talk,rttchea
largest,biggest,rageslt
airport,airplanes,ariropt
command,an authoritative direction ,admcmon
century,a period of 100 years,rcnueyt
victims,person harmed,miitsvc
payment,a sum of money ,neatpym
minutes,120 seconds is 2,esuntim
awkward,causing inconvenience,rkwdwaa
ashamed,feeling shame ,aaesdmh
forward,playing up front,rwrofda
perfect,great,etrfpec
totally,to a complete degree ,lloytta
several,a few,sreveal
earlier,before now,alrerie
general,army position,agrelne
driving,cars,niidvrg
hanging,a picture on a wall,ihgnang
eternal,forever,rlnaete
disturb,annoy,rtbuids
through,having finished,uhtrohg
amazing,affect with wonder,mzgniaa
neither,not one or the other,enethir
contest,event to select a winner,enttcos
factory,manufacturing plant,ocytfar
diamond,hard and shiny,odnamid
central,in the middle,nretalc
produce,fresh fruits and vegetables,ucorpde
chances,possibilities,accsehn
comfort,a state of being relaxed ,tmoofcr
granted,let have,tdgnaer
violent,physical force intending to hurt,nivolet
college,where you study,eolcgel
contact,close interaction,octtnac
massage,rubbing to promote relaxation,emagssa
closing,finishing,igloncs
quarter,one of four equal parts,euartrq
attempt,activity intended to do something,ttapemt
heather,plan that grow in the bog,eahterh
perform,carry out an action,rofremp
staring,looking,asnrgti
operate,run or direct,eetopar
capable,having ability,lbeaapc
murders,premeditated killings,rremsud
vampire,Dracula,pvimrae
foolish,devoid of good sense,ifooshl
gasping,breathe noisily,igangsp
stomach,tummy,hotasmc
selfish,mean,lisfhse
plastic,popular for bags,lsatcpi
sobbing,weeping,igbsbno
costume,attire worn in a play ,somucte
selling,exchange of goods for money,illesng
regular,often,eluarrg
husband,married to,dunbsah
council,a public body,uoclnci
reverse,go back,eerevsr
wailing,loud cries made while weeping,inliwga
burning,fire,nigrunb
cooking,preparing food,kgoicno
massive,huge,eivsmsa
receive,get something,ecrivee
profile,outline of something,fioerlp
careful,exercising caution ,eaulcrf
germany,a republic in central Europe,mragyen
healthy,in great shape,hythlae
madness,insanity,amndess
sheriff,law-enforcement officer in USA,efrfhsi
certain,definite ,etracni
achieve,to gain with effort,evecahi
finally,in the end,yafilln
garbage,rubbish,beggraa
accused,a defendant in a criminal proceeding,csduace
noticed,determine the  presence of,odticne
writing,taking notes,nrtwiig
illegal,prohibited by law,allelig
require,needed,qeiruer
checked,examine,ckhedec
product,commodities offered for sale,pocrudt
opening,a space between things,ipongen
parents,father and mother,tespnar
wounded,injured,dondewu
himself,him,ehmfsli
sighing, breathe deeply and heavily,ihisggn
admiral,position in the navy,idlraam
grandma,the mother of your father or mother,amgandr
wedding,the social event,dgiewnd
someday,some unspecified time in the future,msyoade
useless,no good,slesues
failure,an act that fails,ilfareu
colonel,army position,oloenlc
mention,a remark ,neinmot
surgery,doctor,eryrsgu
chasing,go after with the intent to catch,hgniacs
without,with or…,htiowut
concert,a performance of music,nccetor
connect,join,tonencc
express,fast,esrepsx
company,an institution ,coynapm
meeting,a formally arranged gathering,iemngte
falling,an apple from a tree,gaflinl
nervous,easily agitated,sorvneu
helping,aiding,hingple
swallow,when earing,olawlws
dealing,when playing cards,ailnged
trapped,confined against your will,teadppr
balance,a state of equilibrium,bnelcaa
assault,attack,uaalsts
courage,bravery,gcuaore
vehicle,"car, van, truck",vleehic
Chinese,group of people in Asia,eeihcns
belongs,be owned by,eslgbon
picture,a visual representation,ieutcpr
stabbed,use a knife on,tasbdbe
confess,admit,cesonsf
married,couple,imrread
exactly,preciseness,cxtylae
concern,something important to you,onrncec
laundry,washing clothes,urlandy
footage,film that has been shot,efoogat
getting,the act of acquiring ,inttgeg
freedom,to speak without restraints,mdforee
fortune,lucky,uenfrto
fingers,digits,efrnsgi
thieves,robbers,tihesev
miracle,amazing or wonderful occurrence,ilmcera
happens,come to pass,hpaspen
calling,when looking for someone,cgnalil
ancient,very old,ainectn
planned,organise,ndnlape
project,any piece of work ,eotjprc
collect,gather,tclloce
obvious,easily perceived ,uisvboo
offered,made available,dfeofre
ringing,bells do this,ngrniig
entered,to come or go into,dtreene
private,personal,evritpa
feeling, emotional state,nieelfg
clothes,what you wear,eostlch
enjoyed,take pleasure in,ejoeydn
science,"physics, chemistry etc.",sceecin
musical,a film genre,csiuaml
tragedy,an event causing great loss,rgadety
shortly,for a short time,ytshrol
morning,first thing,nnmirgo
arrange,put into systematic order,raeagrn
romance,a relationship ,naeocmr
escaped,run away from confinement,ecapdes
channel,a path or route,nhacnle
playing,having fun,paynigl
patient,who requires medical care,ettanpi
suspect,can be a chief,usetpcs
explode,a violent release of energy,eolpxed
servant,working for another,rvetsna
covered,done,dcoeevr
telling,an act of narration,tinegll
witness,someone who sees an event,eitwsns
frankly,it is sincerely the case that,krfnlay
society, social group ,csyioet
special,unique and valued,lisepca
success,done well,uscscse
kildare,county in leinster,dilarke
worried,"concerned, anxious",rdiower
decided,come to a decision ,ddeiecd
beating,winning,gebnati
somehow,unspecified way ,eooshwm
culture,the arts,ruecutl
hunting,the pursuit of animals,hinugtn
recover,get better,vrrecoe
soldier,serves in an army,osderil
classic,highest excellence,saclsci
kitchen,where you prepare meals,itnckhe
perhaps,by chance,paeshpr
realise,dawn upon,rasleie
thought,in your mind,gtohthu
missing,lost,simsnig
explain,make comprehensible,elnapix
counter,where beer is served,truneco
magical,almost supernatural ,ligmcaa
mission,goal,imiosns
actress,a female actor,essrcat
promise,a verbal commitment ,oimsepr
illness,sickness,nlslise
english,a language,ihslegn
percent,a proportion in relation to a whole,rntceep
revenge,action taken in return for offense,nvgeree
program,on TV,gorapmr
section, part of a larger composition ,scnieot
prevent,keep from happening ,tepnver
citizen,a member of a state ,nziceti
nowhere,an insignificant place,enhreow
usually,under normal conditions,ullsuay
walking,popular way to travel,klaigwn
crossed,travel across or pass over,resocds
therapy,medical treatment,ytahepr
routine,habit,ineourt
visited,"go to see a place,",ivdseit
awesome,inspiring admiration or wonder,amoeswe
tonight,later,gttnohi
ordered,give instructions,deedror
village,small town,liagevl
trigger,lever used to fire a gun,ggirert
curious,eager to know,suourci
request,a formal message ,rtquees
screams,sharp piercing cry,mrcases
leather,used for make shoes,artehle
reports,written in this publication,srtreop
depends,be contingent upon ,pnededs
dressed,put on clothes,erssedd
excited,arouse or elicit a feeling,edxtice
matters,a vaguely specified concern,ttreasm
serious,careful consideration,uoseisr
problem,a state of difficulty,perlobm
trusted,have confidence in,etrudst
respond, a reaction to something,ndesrop
mistake,error,eskitma
victory,win,cyvirto
against,not with,sigaant
parking,space to leave a car,agrnkpi
nothing,a quantity of no importance,hnognit
trouble,a source of difficulty,otulbre
unhappy,sadness,pnpyauh
confirm,establish,cniform
survive,continue to live through hardship ,vruiesv
created,made,recated
monster,an imaginary creature ,roetsmn
scratch,scrape,tsachrc
machine,any mechanical or electrical device,ehimcna
deserve,be worthy,ervesed
touched,make physical contact with,ehcudot
address,where you live,rddases
seconds,time,docsnes
yelling,shouting,ilnelgy
billion,12 zeros,nolibli
retreat,go back,tratree
charity,generosity and helpfulness,yithrac
approve,give sanction to,vaeprop
monitor,large screen,noritom
closest,very near,stsecol
dancing,moving to music,icdgnna
goddess,a female deity,desdsog
pleased,happy,apeldse
silence,quiet,nlcesie
leaving,departing,gneilva
average,mean,vrgaeae
bullets,come from a gun,lsteblu
capture,to take over,retpcau
conduct,manner of acting or controlling yourself,tdoccun
between,in the interval,wenbeet
animals,living organisms,nmisaal
treated,interact in a certain way,deratte
chicken,hen,ckcehni
torture,practice of inflicting severe pain,ertturo
majesty,royal power,mtsjyea
finding,locating,indifng
discuss,talk about,iscduss
looking,directing the eyes towards,oiongkl
privacy,seclude ,airpcvy
traffic,lots of cars,acffitr
darling,a special loved one,nidragl
western,movie genre,rnsetwe
popular,well liked,puopalr
typical,usual,lpityca
thirsty,needing moisture,rythsti
ability,the quality of being able to perform,itblyai
license,a legal document ,ceenlis
screwed,slang for sexual intercourse,ecdswre
younger,less old,eroguyn
species,taxonomic group,eicepss
fashion,style,anofhsi
correct,right,crroect
chicago,large city in USA,chacgoi
gunfire,the act of shooting a gun,ngfieur
blanket,keeps you warm in bed,aktlebn
imagine,famous song from John Lennon,nimaeig
reality,your experiences ,tilerya
breathe,draw air into,tarhbee
support,help,tuprpos
deliver,postman,eirvlde
traitor,someone who betrays,aotritr
account,a record or narrative,nucatoc
hundred,ten 10s,dhundre
pretend,acting,rtpdeen
comment,remark,omtcmen
manners,social deportment,nsemnar
unusual,not common,usnuaul
winning,succeeding ,iingnnw
suggest,make a proposal,ggstesu
suicide,the act of killing yourself,cisudei
foreign,another country,ionegfr
whoever,someone,howvere
destroy,break,erstyod
suppose,assumed,eupossp
despite,without being affected by,ditepes
bedroom,a room used for sleeping,moobedr
sisters,siblings,ssersti
numbers,required for maths,unbemsr
warrant,legal document,nawtrra
justice, being fair,suijtec
answers,results,ewsansr
charges,rush towards,ahcsgre
because,For the reason,eaubecs
extreme,very large in amount or degree,xreeemt
process,a particular course of action ,opsescr
sending,posting,gdsienn
officer,what you may call a policeman,ifcrofe
protect,shield from danger,optrcet
stretch,important to do,trhtecs
waiting,holding on,gnaitwi
testify,in a court of law,tiyfest
fighter,a boxer,gfterhi
funeral,a ceremony ,narfelu
painful,sore,fnplaiu
forever,always,rrefevo
message,a communication ,smgseea
friends,pals,dnfesri
sitting,on a chair,nsittig
library,a room where books are kept,rliyabr
helpful,providing assistance,ufhlpel
putting,golf,gnuitpt
believe,accept as true,iveeebl
comrade,a friend ,rcdomae
giggles,a foolish or nervous laugh,lisggeg
started,get going,dttrsea
hearing,with your ears,eharign
package,postman may deliver,kgcapae
unknown,unexplored region,uoknnnw
invited,asked to join,nivited
moments,particular points in time,osemnmt
allowed,legal,elwldoa
purpose,a reason,eursppo
surface,the top,ferucsa
history,the aggregate of past events,iyohtsr
working,job,owrnigk
anxious,concerned,xauosni
natural,from nature,nularta
chapter,part of a book,rachpte
rubbish,in the bin,ihbursb
kidding,tell false information to for fun,iidgnkd
changed,make different,dgnchea
herself,female,rlesfhe
surgeon,a physician ,eunosrg
mystery,something that baffles,strmyye
destiny, event that will inevitably happen,nsdetyi
gravity,think Isaac Newton,riayvtg
further,promote the growth of,ufrtehr
luggage,suitcases,gueggal
manager,Jack Charlton,naremga
naughty,bold,gtayhun
refused,not allowed,erufdes
showing,displaying,inoshwg
control,power to direct ,ocornlt
journey,the act of traveling,ojenyru
whiskey,a liquor,hiksywe
student,a learner,ednttsu
captain,leader,tpacnai
teacher,learn from these,teehcar
battery,Duracell,rybtaet
country,"France, Spain, Iceland",onucrty
biggest,large,bggitse